Patch #,Patch name,Stand type,Total Moth Count,"Moth Content (Low = 0-20, Mid = >20-50, High = >50-80, Very High = >80+)","""Muck"" Amount",Total consolidated (categorical),Total (from mean),Total (from rand),% Quercus,% Acer,% Pinus,% Conifers,Longitude (E-W),Surrounded by,Forest Type,Essences forestières,Classe d'âge,Age class_combined,Densité du couvert,Type écologique
3,Mont Gauvin/Glen ,Bolt Dom1,35.25,Mid,,Mid,35.25,35.25,0.50,0.40,,0.00,-72.39723229,Forest,oak,"Chêne rouge 50 %, Érable à sucre 40 %, Feuillus tolérants à l'ombre 10 %",JIN,JIN,0.85,FE60
3,Mont Gauvin/Glen ,Bolt Dom2,42.00,Mid,,Mid,42.00,42.00,0.50,0.40,,0.00,-72.39782707,Forest,oak,"Chêne rouge 50 %, Érable à sucre 40 %, Feuillus tolérants à l'ombre 10 %",JIN,JIN,0.85,FE60
3,Mont Gauvin/Glen ,Bolt Low 1,40.50,Mid,low,Mid,50.50,50.06,,0.40,,0.00,-72.39736539,Forest,birch_maple,"Bouleau à papier (blanc) 20 %, Érable rouge 20 %, Érable à sucre 20 %, Peupliers naturels 20 %, Feuillus tolérants à l'ombre 10 %, Résineux indéterminés 10 %",JIN,JIN,0.75,FE22
3,Mont Gauvin/Glen ,Bolt Low 2,46.00,Mid,,Mid,46.00,46.00,,0.90,,0.00,-72.39665947,Forest,maple,"Érable à sucre 80 %, Érable rouge 10 %, Feuillus tolérants à l'ombre 10 %",VIN,VIN,0.65,FE22
12,Mont Rigaud,Rig Co-Dom1,35.00,Mid,,Mid,35.00,35.00,0.40,0.40,,0.00,-74.32072261,Agricultural,oak_maple,"Chêne rouge 40 %, Érable à sucre 40 %, Feuillus tolérants à l'ombre 20 %",JIN,JIN,0.95,FE62
12,Mont Rigaud,Rig Co-Dom2,18.50,Low,medium,Mid,53.50,49.30,0.30,0.30,0.20,0.20,-74.3200795,Agricultural,oak_maple,"Chêne rouge 30 %, Érable rouge 30 %, Feuillus tolérants à l'ombre 20 %, Pin blanc 20 %",JIN,JIN,0.85,FC10
12,Mont Rigaud,Rig Dom1,36.00,Mid,high,High,101.00,112.63,0.70,,0.10,0.20,-74.31928002,Agricultural,oak,"Chêne rouge 70 %, Feuillus tolérants à l'ombre 10 %, Pin blanc 10 %, Pruche du Canada (de l'Est) 10 %",JIN,JIN,0.95,FE62
12,Mont Rigaud,Rig Dom2,41.00,Mid,  ,Mid,41.00,41.00,0.70,,0.10,0.20,-74.32101638,Agricultural,oak,"Chêne rouge 70 %, Feuillus tolérants à l'ombre 10 %, Pin blanc 10 %, Pruche du Canada (de l'Est) 10 %",JIN,JIN,0.95,FE62
12,Mont Rigaud,Rig Low 1,7.00,Low,very high,High,107.00,97.60,,,0.40,0.90,-74.31643818,Agricultural,pine_hemlock,"Pin blanc 40 %, Pruche du Canada (de l'Est) 40 %, Sapin baumier 10 %, Feuillus tolérants à l'ombre 10 %",VIN,VIN,0.75,RP12
12,Mont Rigaud,Rig Low 2,8.50,Low,,Low,8.50,8.50,0.10,,0.50,0.80,-74.31719449,Agricultural,pine_hemlock,"Pin blanc 50 %, Pruche du Canada (de l'Est) 30 %, Chêne rouge 10 %, Feuillus tolérants à l'ombre 10 %",JIN,JIN,0.75,RP12
7,Mont Saint Bruno,MSB Co-Dom1,33.00,Mid,,Mid,33.00,33.00,0.40,0.40,,0.00,-73.32406014,Agricultural,oak_maple,"Chêne rouge 40 %, Érable à sucre 40 %, Feuillus tolérants à l'ombre 10 %, Hêtre à grandes feuilles 10 %",JIN,JIN,0.85,FE62
7,Mont Saint Bruno,MSB Co-Dom2,6.25,Low,,Low,6.25,6.25,0.40,0.40,,0.00,-73.32260177,Agricultural,oak_maple,"Chêne rouge 40 %, Érable à sucre 40 %, Feuillus tolérants à l'ombre 10 %, Hêtre à grandes feuilles 10 %",JIN,JIN,0.85,FE62
7,Mont Saint Bruno,MSB Dom1,21.00,Mid,,Mid,21.00,21.00,0.60,0.10,,0.00,-73.30760642,Agricultural,oak,"Chêne rouge 60 %, Feuillus tolérants à l'ombre 20 %, Érable à sucre 10 %, Peupliers naturels 10 %",JIN,JIN,0.95,FC10
